order_number,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,state,state_name,us_region,lat,lon,budget,total_cost,profit,profit_margin_pct,order_month_name,order_month_num,order_month
SO - 0009346,2014-01-01,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.900000000001,839.711,CA,California,West,38.10409,-122.25664,,5877.977,1203.9230000000007,17.00000000000001,January,1,2014-01
SO - 0002468,2014-01-01,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,CA,California,West,34.02862,-117.81034,,10788.608,5076.992,32.0,January,1,2014-01
SO - 0003850,2014-01-01,Epic Group,Wholesale,Product 13,6,2653.2000000000003,15919.2,1485.7920000000004,CA,California,West,33.6603,-117.99923,,8914.752000000002,7004.4479999999985,43.999999999999986,January,1,2014-01
SO - 0006279,2014-01-01,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.600000000002,1538.3200000000002,FL,Florida,South,28.11873,-81.47923,,10768.240000000002,16152.36,60.0,January,1,2014-01
SO - 0006313,2014-01-01,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,California,West,33.60002,-117.672,,12246.528,2332.6720000000005,16.000000000000004,January,1,2014-01
SO - 0010604,2014-01-01,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.600000000006,4113.666,AL,Alabama,South,32.60986,-85.48078,,45250.326,10614.274000000005,19.000000000000007,January,1,2014-01
SO - 0008840,2014-01-01,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,LA,Louisiana,South,29.984090000000002,-90.15285,,4313.862,1595.5380000000005,27.000000000000007,January,1,2014-01
SO - 0004336,2014-01-01,Mita Corp,Export,Product 14,9,268.0,2412.0,227.79999999999998,NC,North Carolina,South,35.92812,-79.03742,,2050.2,361.8000000000002,15.000000000000007,January,1,2014-01
SO - 0005121,2014-01-01,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,MA,Massachusetts,Northeast,42.3751,-71.10561,,24544.512,9545.088000000007,28.000000000000014,January,1,2014-01
SO - 0010233,2014-01-01,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,PA,Pennsylvania,Northeast,40.03788,-76.30551,,11191.277999999998,16104.522,59.00000000000001,January,1,2014-01
SO - 0002206,2014-01-01,General Company,Wholesale,Product 16,8,174.20000000000002,1393.6000000000001,109.74600000000001,CA,California,West,33.03699,-117.29198,,877.9680000000001,515.6320000000001,37.0,January,1,2014-01
SO - 0002543,2014-01-01,Terumo Corp,Export,Product 14,9,3644.8,32803.200000000004,2587.808,CA,California,West,34.01945,-118.49119,,23290.272,9512.928000000004,29.00000000000001,January,1,2014-01
SO - 0002921,2014-01-01,Bluezoom Group,Wholesale,Product 26,10,5875.900000000001,58759.00000000001,4289.407,NH,New Hampshire,Northeast,42.99564,-71.45479,,42894.07,15864.930000000008,27.000000000000007,January,1,2014-01
SO - 0003715,2014-01-01,US Ltd,Wholesale,Product 26,10,1085.4,10854.0,857.4660000000001,IL,Illinois,Midwest,42.25884,-89.06455,,8574.660000000002,2279.3399999999983,20.999999999999986,January,1,2014-01
SO - 0004471,2014-01-01,Accudial Company,Wholesale,Product 14,12,2237.8,26853.600000000002,939.8760000000001,GA,Georgia,South,33.36149,-82.075,,11278.512,15575.088000000002,57.99999999999999,January,1,2014-01
SO - 0004751,2014-01-01,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,CA,California,West,33.78252,-117.22865,,4643.099999999999,5909.400000000001,56.00000000000001,January,1,2014-01
SO - 0006833,2014-01-01,BB17 Company,Export,Product 4,7,2613.0,18291.0,2142.66,NJ,New Jersey,Northeast,40.85964,-74.42335,,14998.619999999999,3292.380000000001,18.000000000000004,January,1,2014-01
SO - 0008532,2014-01-01,Wordware Company,Wholesale,Product 5,11,938.0,10318.0,675.36,UT,Utah,West,41.06022,-111.97105,,7428.96,2889.04,27.999999999999996,January,1,2014-01
SO - 0010560,2014-01-01,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.8179999999998,KY,Kentucky,South,38.25424,-85.75941,,14734.908,3234.492000000002,18.00000000000001,January,1,2014-01
SO - 0003527,2014-01-02,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,CA,California,West,37.54827,-121.98857,,15724.632,2995.1679999999997,15.999999999999998,January,1,2014-01
SO - 0003901,2014-01-02,Yodoo Ltd,Wholesale,Product 25,5,1728.6000000000001,8643.0,1019.874,NY,New York,Northeast,40.91149,-73.78235,,5099.37,3543.63,41.0,January,1,2014-01
SO - 0001098,2014-01-02,Golden Corp,Wholesale,Product 30,11,1675.0,18425.0,1155.75,IL,Illinois,Midwest,39.79106,-89.64457,,12713.25,5711.75,31.0,January,1,2014-01
SO - 0001725,2014-01-02,Mita Corp,Wholesale,Product 15,8,6525.8,52206.4,2806.094,IL,Illinois,Midwest,41.56858,-87.80422,,22448.752,29757.648,56.99999999999999,January,1,2014-01
SO - 0002795,2014-01-02,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,IN,Indiana,Midwest,39.47555,-87.38835,,30206.28,16264.919999999998,35.0,January,1,2014-01
SO - 0003310,2014-01-02,General Company,Distributor,Product 26,10,1038.5,10385.0,529.635,CA,California,West,37.59583,-122.01917,,5296.35,5088.65,49.0,January,1,2014-01
SO - 0004126,2014-01-02,ALK-Abello Ltd,Wholesale,Product 14,10,3041.8,30418.0,2038.0060000000003,FL,Florida,South,27.8428,-82.69954,,20380.060000000005,10037.939999999995,32.999999999999986,January,1,2014-01
SO - 0005940,2014-01-02,Vinte Group,Export,Product 13,6,5212.6,31275.600000000002,2814.8040000000005,CA,California,West,37.00578,-121.56828,,16888.824000000004,14386.775999999998,45.99999999999999,January,1,2014-01
SO - 0006793,2014-01-02,The Ltd,Export,Product 14,10,3953.0,39530.0,3043.81,MI,Michigan,Midwest,42.33143,-83.04575,,30438.1,9091.900000000001,23.000000000000004,January,1,2014-01
SO - 0007868,2014-01-02,Wordpedia Ltd,Distributor,Product 3,9,850.9,7658.099999999999,433.959,CA,California,West,38.75212,-121.28801,,3905.631,3752.4689999999996,49.0,January,1,2014-01
SO - 0009934,2014-01-02,Cadila Ltd,Export,Product 3,11,2519.2000000000003,27711.200000000004,1058.064,TX,Texas,South,31.54933,-97.14667,,11638.704000000002,16072.496000000003,57.99999999999999,January,1,2014-01
SO - 000791,2014-01-02,Jayo Company,Export,Product 17,5,3108.8,15544.0,1896.3680000000002,CA,California,West,33.99307,-117.96868,,9481.84,6062.16,39.0,January,1,2014-01
SO - 0003756,2014-01-02,Bath Group,Export,Product 30,10,221.1,2211.0,128.238,IL,Illinois,Midwest,41.60815,-87.85929,,1282.38,928.6199999999999,41.99999999999999,January,1,2014-01
SO - 0004390,2014-01-02,Trunyx Ltd,Export,Product 16,6,5929.5,35577.0,4209.945,CT,Connecticut,Northeast,41.5585,-73.03668,,25259.67,10317.330000000002,29.000000000000004,January,1,2014-01
SO - 0006241,2014-01-02,Roomm Company,Wholesale,Product 3,10,1065.3,10653.0,628.5269999999999,TX,Texas,South,30.62798,-96.33441,,6285.2699999999995,4367.7300000000005,41.0,January,1,2014-01
SO - 0008226,2014-01-02,Tambee Company,Wholesale,Product 20,11,938.0,10318.0,684.74,NY,New York,Northeast,40.88409,-73.37676,,7532.14,2785.8599999999997,26.999999999999996,January,1,2014-01
SO - 0010346,2014-01-02,Voolia Ltd,Export,Product 4,5,5708.400000000001,28542.000000000004,2283.36,CT,Connecticut,Northeast,41.5585,-73.03668,,11416.800000000001,17125.200000000004,60.00000000000001,January,1,2014-01
SO - 0004104,2014-01-02,Podcat Corp,Wholesale,Product 23,7,3839.1,26873.7,2457.024,ND,North Dakota,Midwest,47.92526,-97.03285,,17199.167999999998,9674.532000000003,36.00000000000001,January,1,2014-01
SO - 0005545,2014-01-02,Dynazzy Company,Wholesale,Product 2,8,1098.8,8790.4,483.472,CT,Connecticut,Northeast,41.77524,-72.52443,,3867.776,4922.624,56.00000000000001,January,1,2014-01
SO - 0005765,2014-01-02,Talane Group,Distributor,Product 13,7,5688.3,39818.1,2502.8520000000003,CA,California,West,37.54827,-121.98857,,17519.964000000004,22298.135999999995,55.99999999999999,January,1,2014-01
SO - 0006767,2014-01-02,Oozz Group,Distributor,Product 16,10,1983.2,19832.0,1269.248,AZ,Arizona,West,33.44838,-112.07404,,12692.48,7139.52,36.00000000000001,January,1,2014-01
SO - 0006883,2014-01-02,SHISEIDO Ltd,Distributor,Product 7,12,1246.2,14954.400000000001,834.9540000000001,FL,Florida,South,28.03446,-80.58866,,10019.448,4934.952000000001,33.00000000000001,January,1,2014-01
SO - 0007017,2014-01-02,Zoomzone Corp,Distributor,Product 5,9,3825.7000000000003,34431.3,2486.7050000000004,OH,Ohio,Midwest,41.45282,-82.18237,,22380.345000000005,12050.954999999998,34.99999999999999,January,1,2014-01
SO - 0007493,2014-01-02,Browsetype Corp,Wholesale,Product 18,8,2351.7000000000003,18813.600000000002,1293.4350000000002,FL,Florida,South,26.12231,-80.14338,,10347.480000000001,8466.12,45.0,January,1,2014-01
SO - 0008686,2014-01-02,Vimbo Company,Export,Product 21,7,3189.2000000000003,22324.4,2647.036,CO,Colorado,West,40.42331,-104.70913,,18529.252,3795.148000000001,17.000000000000004,January,1,2014-01
SO - 0008746,2014-01-02,Cantrell Company,Distributor,Product 16,10,2244.5,22445.0,920.2449999999999,IN,Indiana,Midwest,41.65183,-85.94312,,9202.449999999999,13242.550000000001,59.00000000000001,January,1,2014-01
SO - 0001523,2014-01-02,Accudial Company,Distributor,Product 25,5,6137.2,30686.0,4234.668,CT,Connecticut,Northeast,41.76371,-72.68509,,21173.339999999997,9512.660000000003,31.00000000000001,January,1,2014-01
SO - 0002194,2014-01-02,Quaxo Ltd,Wholesale,Product 20,7,2680.0,18760.0,1098.8,FL,Florida,South,28.47689,-82.52546,,7691.599999999999,11068.400000000001,59.00000000000001,January,1,2014-01
SO - 0002824,2014-01-02,Zooxo Ltd,Wholesale,Product 15,8,1092.1000000000001,8736.800000000001,589.7340000000002,CA,California,West,38.60336,-121.38005,,4717.872000000001,4018.928,45.99999999999999,January,1,2014-01
SO - 0002859,2014-01-02,Realcube Company,Distributor,Product 8,11,1688.4,18572.4,776.6640000000001,IN,Indiana,Midwest,37.97476,-87.55585,,8543.304000000002,10029.096,53.99999999999999,January,1,2014-01
SO - 0003113,2014-01-02,Feednation Corp,Wholesale,Product 25,8,1802.3,14418.4,1297.656,CA,California,West,37.49466,-120.84659,,10381.248,4037.152,28.000000000000004,January,1,2014-01
SO - 0004190,2014-01-02,Mydo Corp,Wholesale,Product 13,10,3946.3,39463.0,2249.391,TX,Texas,South,29.99883,-95.1766,,22493.91,16969.09,43.0,January,1,2014-01
SO - 0004531,2014-01-02,Neutrogena Ltd,Distributor,Product 12,6,3932.9,23597.4,2084.4370000000004,MI,Michigan,Midwest,42.33698,-83.27326,,12506.622000000003,11090.777999999998,46.99999999999999,January,1,2014-01
SO - 0004734,2014-01-02,Mylan Corp,Distributor,Product 11,9,1105.5,9949.5,486.42,NY,New York,Northeast,40.72833,-73.99417,,4377.78,5571.72,56.00000000000001,January,1,2014-01
SO - 0005505,2014-01-02,Realpoint Corp,Wholesale,Product 21,6,1802.3,10813.8,1315.6789999999999,TX,Texas,South,33.91371,-98.49339,,7894.073999999999,2919.7260000000006,27.000000000000007,January,1,2014-01
SO - 0006105,2014-01-02,Neutrogena Ltd,Export,Product 14,11,1896.1000000000001,20857.100000000002,777.401,FL,Florida,South,26.12759,-80.2331,,8551.411,12305.689000000002,59.00000000000001,January,1,2014-01
SO - 0007660,2014-01-02,Safecor Corp,Wholesale,Product 27,5,2921.2000000000003,14606.000000000002,2103.264,MA,Massachusetts,Northeast,42.33176,-71.12116,,10516.32,4089.680000000002,28.000000000000007,January,1,2014-01
SO - 0009316,2014-01-02,Meejo Corp,Wholesale,Product 11,11,2867.6,31543.6,1319.096,CA,California,West,34.06862,-118.02757,,14510.056,17033.543999999998,53.99999999999999,January,1,2014-01
SO - 0009694,2014-01-02,Fivechat Company,Wholesale,Product 14,10,911.2,9112.0,637.84,MO,Missouri,Midwest,39.01695,-94.28161,,6378.400000000001,2733.5999999999995,29.999999999999993,January,1,2014-01
SO - 0008905,2014-01-02,Pacific Ltd,Wholesale,Product 2,7,1092.1000000000001,7644.700000000001,589.7340000000002,IL,Illinois,Midwest,42.03336,-87.8834,,4128.138000000001,3516.562,46.0,January,1,2014-01
SO - 0010547,2014-01-02,NCS Group,Wholesale,Product 27,7,207.70000000000002,1453.9,176.54500000000002,WA,Washington,West,47.30377,-122.21,,1235.815,218.08500000000004,15.000000000000002,January,1,2014-01
SO - 0001033,2014-01-02,Vimbo Company,Wholesale,Product 25,9,2552.7000000000003,22974.300000000003,2093.214,CA,California,West,33.85363,-118.13396,,18838.926,4135.374000000003,18.000000000000014,January,1,2014-01
SO - 0007387,2014-01-02,Brainspher Ltd,Wholesale,Product 26,8,938.0,7504.0,731.64,TX,Texas,South,31.09823,-97.34278,,5853.12,1650.88,22.0,January,1,2014-01
SO - 0009903,2014-01-02,Voonyx Group,Wholesale,Product 11,11,3973.1,43704.1,3337.404,MN,Minnesota,Midwest,45.11997,-93.28773,,36711.444,6992.655999999995,15.99999999999999,January,1,2014-01
SO - 0002911,2014-01-03,Mycone Ltd,Wholesale,Product 15,6,911.2,5467.200000000001,665.176,FL,Florida,South,25.67149,-80.4445,,3991.0560000000005,1476.1440000000002,27.0,January,1,2014-01
SO - 0003775,2014-01-03,Kazu Corp,Distributor,Product 18,12,891.1,10693.2,516.838,CA,California,West,34.14778,-118.14452,,6202.056,4491.144000000001,42.00000000000001,January,1,2014-01
SO - 0004386,2014-01-03,Camido Company,Distributor,Product 19,9,1045.2,9406.800000000001,418.08000000000004,IN,Indiana,Midwest,39.96548,-86.14837,,3762.7200000000003,5644.080000000001,60.0,January,1,2014-01
SO - 0004792,2014-01-03,Skinder Group,Wholesale,Product 1,6,167.5,1005.0,83.75,CA,California,West,33.97918,-118.03284,,502.5,502.5,50.0,January,1,2014-01
SO - 0005414,2014-01-03,Eayo Company,Wholesale,Product 25,7,1835.8,12850.6,1413.566,WI,Wisconsin,Midwest,44.02471,-88.54261,,9894.962,2955.638000000001,23.000000000000007,January,1,2014-01
SO - 0005609,2014-01-03,Ozu Ltd,Distributor,Product 10,7,3966.4,27764.8,1903.872,CA,California,West,34.00944,-118.10528,,13327.104000000001,14437.695999999998,51.99999999999999,January,1,2014-01
SO - 0006308,2014-01-03,US Ltd,Wholesale,Product 28,8,214.4,1715.2,124.35199999999999,AZ,Arizona,West,33.42227,-111.82264,,994.8159999999999,720.3840000000001,42.00000000000001,January,1,2014-01
SO - 0006534,2014-01-03,Snaptags Ltd,Distributor,Product 15,9,5152.3,46370.700000000004,3709.656,FL,Florida,South,25.75871,-80.39839,,33386.904,12983.796000000002,28.000000000000004,January,1,2014-01
SO - 0007139,2014-01-03,Quaxo Ltd,Wholesale,Product 2,6,2418.7000000000003,14512.2,1910.7730000000004,MA,Massachusetts,Northeast,42.30791,-71.4362,,11464.638000000003,3047.561999999998,20.999999999999986,January,1,2014-01
SO - 0001045,2014-01-03,Lazzy Group,Export,Product 30,12,1125.6000000000001,13507.2,529.032,TX,Texas,South,31.09823,-97.34278,,6348.384,7158.816000000001,53.0,January,1,2014-01
SO - 0002195,2014-01-03,Mycone Ltd,Wholesale,Product 15,7,1675.0,11725.0,686.75,LA,Louisiana,South,29.95465,-90.07507,,4807.25,6917.75,59.0,January,1,2014-01
SO - 0002314,2014-01-03,Voolia Ltd,Wholesale,Product 14,5,6304.7,31523.5,2774.0679999999998,IL,Illinois,Midwest,41.84454,-87.75929,,13870.339999999998,17653.160000000003,56.000000000000014,January,1,2014-01
SO - 0004070,2014-01-03,Kazu Corp,Distributor,Product 19,6,2646.5,15879.0,1243.855,SD,South Dakota,Midwest,43.53834,-96.732,,7463.13,8415.869999999999,52.99999999999999,January,1,2014-01
SO - 0006097,2014-01-03,Zoomdog Corp,Wholesale,Product 25,8,2010.0,16080.0,1386.8999999999999,PA,Pennsylvania,Northeast,42.12922,-80.08506,,11095.199999999999,4984.800000000001,31.000000000000007,January,1,2014-01
SO - 0010022,2014-01-03,Aibox Company,Wholesale,Product 2,5,247.9,1239.5,185.925,ND,North Dakota,Midwest,46.87719,-96.7898,,929.625,309.875,25.0,January,1,2014-01
SO - 0010373,2014-01-03,Dynazzy Company,Wholesale,Product 25,10,3906.1,39061.0,2695.209,NM,New Mexico,West,35.68698,-105.9378,,26952.089999999997,12108.910000000003,31.00000000000001,January,1,2014-01
SO - 0009496,2014-01-03,Roberts Company,Distributor,Product 25,6,5386.8,32320.800000000003,3070.4759999999997,WI,Wisconsin,Midwest,43.01668,-88.00703,,18422.856,13897.944000000003,43.00000000000001,January,1,2014-01
SO - 0010605,2014-01-03,SAFEWAY Ltd,Wholesale,Product 5,5,1065.3,5326.5,543.303,FL,Florida,South,28.47689,-82.52546,,2716.515,2609.985,49.00000000000001,January,1,2014-01
SO - 000717,2014-01-03,Ozu Ltd,Wholesale,Product 22,5,2291.4,11457.0,1581.066,IN,Indiana,Midwest,37.96821,-87.49674,,7905.33,3551.67,31.0,January,1,2014-01
SO - 0002802,2014-01-03,BTA Corp,Distributor,Product 25,7,2559.4,17915.8,1612.422,IL,Illinois,Midwest,41.68366,-88.08834,,11286.954,6628.846,37.0,January,1,2014-01
SO - 0003853,2014-01-03,Talane Group,Distributor,Product 3,9,1809.0,16281.0,1338.66,NJ,New Jersey,Northeast,40.0908,-74.36126,,12047.94,4233.0599999999995,25.999999999999996,January,1,2014-01
SO - 0004109,2014-01-03,Browsebug Company,Wholesale,Product 13,9,1989.9,17909.100000000002,1591.92,CA,California,West,37.33939,-121.89496,,14327.28,3581.8200000000015,20.000000000000007,January,1,2014-01
SO - 0004622,2014-01-03,Centizu Company,Wholesale,Product 3,11,2318.2000000000003,25500.200000000004,1947.2880000000002,IL,Illinois,Midwest,41.5177,-88.14885,,21420.168,4080.032000000003,16.000000000000007,January,1,2014-01
SO - 0004965,2014-01-03,True Ltd,Distributor,Product 4,7,3825.7000000000003,26779.9,1874.593,MA,Massachusetts,Northeast,42.33176,-71.12116,,13122.151,13657.749000000002,51.0,January,1,2014-01
SO - 0005431,2014-01-03,Buzzshare Company,Wholesale,Product 20,5,5514.1,27570.5,2536.4860000000003,OR,Oregon,West,45.49818,-122.43148,,12682.430000000002,14888.069999999998,53.99999999999999,January,1,2014-01
SO - 0007483,2014-01-03,Fivebridge Ltd,Distributor,Product 25,9,944.7,8502.300000000001,566.82,MA,Massachusetts,Northeast,42.08343,-71.01838,,5101.38,3400.920000000001,40.00000000000001,January,1,2014-01
SO - 0009671,2014-01-03,Natures Group,Distributor,Product 5,7,1105.5,7738.5,928.62,IL,Illinois,Midwest,41.59625,-88.08915,,6500.34,1238.1599999999999,15.999999999999998,January,1,2014-01
SO - 000187,2014-01-03,Bath Group,Wholesale,Product 13,5,891.1,4455.5,632.681,IN,Indiana,Midwest,41.66997,-86.27628,,3163.405,1292.0949999999998,28.999999999999996,January,1,2014-01
SO - 000198,2014-01-03,Roberts Company,Export,Product 30,11,2472.3,27195.300000000003,1433.934,CO,Colorado,West,39.92054,-105.08665,,15773.274,11422.026000000003,42.00000000000001,January,1,2014-01
SO - 0003309,2014-01-03,Vimbo Company,Export,Product 19,7,2351.7000000000003,16461.9,1622.673,MN,Minnesota,Midwest,44.76774,-93.27772,,11358.711,5103.189000000002,31.00000000000001,January,1,2014-01
SO - 0003348,2014-01-03,Amerisourc Corp,Wholesale,Product 8,12,884.4,10612.8,477.576,IN,Indiana,Midwest,39.61366,-86.10665,,5730.912,4881.887999999999,46.0,January,1,2014-01
SO - 0003548,2014-01-03,H Ltd,Export,Product 26,7,1172.5,8207.5,644.875,NJ,New Jersey,Northeast,40.66871,-74.11431,,4514.125,3693.375,45.0,January,1,2014-01
SO - 0004273,2014-01-03,Walgreen Corp,Wholesale,Product 13,8,3832.4,30659.2,3219.216,TX,Texas,South,30.63269,-97.67723,,25753.728,4905.472000000002,16.000000000000007,January,1,2014-01
SO - 0005395,2014-01-03,Skiptube Ltd,Distributor,Product 25,9,1011.7,9105.300000000001,536.201,IA,Iowa,Midwest,42.03471,-93.61994,,4825.809,4279.491000000001,47.0,January,1,2014-01
SO - 0010342,2014-01-03,Remedy Ltd,Wholesale,Product 5,9,1916.2,17245.8,1034.748,FL,Florida,South,26.0112,-80.14949,,9312.732,7933.067999999999,46.0,January,1,2014-01
SO - 0008833,2014-01-03,Rhynoodle Ltd,Wholesale,Product 4,10,6371.7,63717.0,2803.548,FL,Florida,South,26.31841,-80.09977,,28035.479999999996,35681.520000000004,56.00000000000001,January,1,2014-01
SO - 0008201,2014-01-03,Oozz Group,Distributor,Product 26,8,3356.7000000000003,26853.600000000002,1879.7520000000004,CA,California,West,33.78252,-117.22865,,15038.016000000003,11815.583999999999,43.99999999999999,January,1,2014-01
SO - 0008587,2014-01-03,Zoonoodle Ltd,Wholesale,Product 14,5,227.8,1139.0,186.796,KY,Kentucky,South,38.25424,-85.75941,,933.98,205.01999999999998,18.0,January,1,2014-01
SO - 0009558,2014-01-03,Vitz Company,Distributor,Product 22,10,1232.8,12328.0,862.9599999999999,CA,California,West,34.03363,-117.04309,,8629.599999999999,3698.4000000000015,30.00000000000001,January,1,2014-01
SO - 0001941,2014-01-03,Browsebug Company,Distributor,Product 5,12,1038.5,12462.0,581.5600000000001,MI,Michigan,Midwest,42.32115,-85.17971,,6978.720000000001,5483.279999999999,43.999999999999986,January,1,2014-01
SO - 0001966,2014-01-03,Tekfly Group,Wholesale,Product 3,10,1172.5,11725.0,973.175,GA,Georgia,South,34.03945,-84.35095,,9731.75,1993.25,17.0,January,1,2014-01
SO - 0002436,2014-01-03,Flipstorm Group,Distributor,Product 27,11,3859.2000000000003,42451.200000000004,1736.64,TX,Texas,South,32.79333,-96.76651,,19103.04,23348.160000000003,55.00000000000001,January,1,2014-01
SO - 0003555,2014-01-03,Chatterbri Ltd,Distributor,Product 6,11,1829.1000000000001,20120.100000000002,859.677,IN,Indiana,Midwest,40.19153,-85.38601,,9456.447,10663.653000000002,53.0,January,1,2014-01
SO - 0004288,2014-01-03,Voolia Ltd,Export,Product 3,5,221.1,1105.5,152.559,CA,California,West,34.95303,-120.43572,,762.795,342.70500000000004,31.000000000000007,January,1,2014-01
SO - 0004460,2014-01-03,Vitz Company,Wholesale,Product 20,12,5688.3,68259.6,4152.459,NJ,New Jersey,Northeast,39.90461,-74.997,,49829.508,18430.092000000004,27.0,January,1,2014-01
SO - 0004900,2014-01-03,Terumo Corp,Wholesale,Product 2,10,2405.3,24053.0,986.173,NY,New York,Northeast,42.73911,-78.85713,,9861.73,14191.27,59.0,January,1,2014-01
SO - 0005729,2014-01-03,Vimbo Company,Wholesale,Product 13,10,3825.7000000000003,38257.0,1836.336,MI,Michigan,Midwest,42.91336,-85.70531,,18363.36,19893.64,52.0,January,1,2014-01
SO - 0005909,2014-01-03,Eire Corp,Wholesale,Product 17,9,3859.2000000000003,34732.8,1813.824,OH,Ohio,Midwest,39.25479,-84.62414,,16324.416000000001,18408.384000000002,53.0,January,1,2014-01
SO - 0008255,2014-01-03,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,CA,California,West,40.58654,-122.39168,,24544.512,9545.088000000007,28.000000000000014,January,1,2014-01
